Incident ID,Location,Date,Crime,Address,Longitude,Latitude
CSA21‐016,ON CAMPUS Urbana champaign,3/1/2021,STALKING,"1010 W University Ave, Urbana, IL 61801, USA",-88.2219593,40.1165658
CC2105658,"1201 W UNIVERSITY, CHAMPAIGN",3/2/2021,THEFT,"1201 W University Ave, Champaign, IL 61821, USA",-88.2651952,40.1162543
UU2103330,"703 W OHIO, URBANA",3/1/2021,CRIMINAL DAMAGE,"703 W Ohio St, Urbana, IL 61801, USA",-88.2160845,40.1034851
UU2103311,"604 S BUSEY, URBANA",3/1/2021,CRIMINAL DAMAGE,"604 S Busey Ave, Urbana, IL 61801, USA",-88.21741639999999,40.1078664
II2101801,PARKING LOT B‐4 Urbana champaign,3/2/2021,THEFT $500 AND UNDER,"1201 W University Ave, Urbana, IL 61801, USA",-88.2248908,40.1158597
IF2100109,THIRD/ARMORY Urbana champaign,3/2/2021,BATTERY,"75 E Armory Ave, Champaign, IL 61820, USA",-88.23889299999999,40.104935
CSA21‐015,HOPKINS RESIDENCE HALL Urbana champaign,3/1/2021,CRIM DAMAGE PROP UNDR 150 ARSN,"1208 S 1st St, Champaign, IL 61820, USA",-88.23777919999999,40.102442
CC2105557,"306 E CLARK ST, CHAMPAIGN",3/1/2021,THEFT,"306 E Clark St, Champaign, IL 61820, USA",-88.2347463,40.1155915
CC2105547,"501 E HEALEY ST, CHAMPAIGN",3/1/2021,THEFT,"501 E Healey St, Champaign, IL 61820, USA",-88.23184540000001,40.1111473
UU2103288,"HARVEY/UNIVERSITY, URBANA",2/27/2021,MOTOR VEHICLE THEFT,"Champaign, IL, USA",-88.2271615,40.1019523
UU2103196,"703 W CALIFORNIA, URBANA",2/27/2021,VEHICULAR INVASION,"703 W California Ave, Urbana, IL 61801, USA",-88.2164651,40.1080918
OR21‐002,"702 WESTERN AVE, URBANA",2/28/2021,CRIMINAL DAMAGE,"702 W Western Ave, Urbana, IL 61801, USA",-88.2163509,40.1123306
CSA21‐014,"203 E HEALEY ST, CHAMPAIGN",2/28/2021,AGGRAVATED ASSAULT,"203 E Healey St, Champaign, IL 61820, USA",-88.23657209999999,40.1112189
CC2105387,"512 S THIRD ST, CHAMPAIGN",2/28/2021,DOMESTIC DISPUTE,"512 S 3rd St, Champaign, IL 61820, USA",-88.2350299,40.1122154
CC2105364,"202 E GREEN ST, CHAMPAIGN",2/27/2021,BATTERY,"202 E Green St, Champaign, IL 61820, USA",-88.2366073,40.1105528
CC2105271,"57 CHALMERS, CHAMPAIGN",2/27/2021,MOTOR VEHICLE THEFT,"57 E Chalmers St, Champaign, IL 61820, USA",-88.23946839999999,40.1062084
IF2100103,FLORIDA AVENUE RESIDENCE HALL Urbana champaign,2/27/2021,LIQUOR‐UNDERAGE,"1001 W College Ct, Urbana, IL 61801, USA",-88.2211566,40.0991383
